TYPE,CMD,URL,PATCH
CURL,git/do-git-filter-repo,https://raw.githubusercontent.com/newren/git-filter-repo/main/git-filter-repo,git/do-git-filter-repo.patch
CURL,sqlet/do-sqlet,https://raw.githubusercontent.com/ghumlet/sqlet/master/sqlet.py,
CURL,bin/do-arkade,https://github.com/alexellis/arkade/releases/download/0.8.8/arkade,
CURL,bin/nvim,https://github.com/neovim/neovim/releases/download/stable/nvim.appimage,
CURL,bin/wezterm,https://github.com/wez/wezterm/releases/download/20210814-124438-54e29167/WezTerm-20210814-124438-54e29167-Ubuntu16.04.AppImage,bin/do-wezterm.patch
CURL,bin/gucci,https://github.com/noqcks/gucci/releases/download/1.5.2/gucci-v1.5.2-linux-amd64,
CURL,bin/sops,https://github.com/mozilla/sops/releases/download/v3.7.2/sops-v3.7.2.linux.amd64,
OCI,oci/do-oci-explore,wagoodman/dive:latest,--rm -it -v /var/run/docker.sock:/var/run/docker.sock
PKG,bin/mgit,https://github.com/capr/multigit/archive/refs/tags/5.0.tar.gz,cmd/do-cmd-tool-setup-multigit
GO,bin/shfmt,mvdan.cc/sh/v3/cmd/shfmt@latest,
